pi,cpu,ram,temp,humidity,label
79.6,9.4,84,28,42,0
72.6,17.4,77,25,37,0
48,61.7,78,25,39,0
83.2,27.6,35,26,35,0
80.3,36.9,40,25,32,0
75.3,13.3,33,25,37,0
80.1,40.7,63,27,38,0
83,59.5,79,28,43,0
53.3,59.8,32,27,40,0
54.2,99.6,35,27,42,0
57.5,18.7,90,30,36,0
77.7,16.3,38,29,33,0
51.1,71.9,82,29,35,0
71.5,22,75,27,41,0
76.3,85.2,35,27,33,0
78.4,40.3,34,28,33,0
54.3,41.6,40,26,34,0
80.9,15.7,39,27,35,0
71.2,15.7,73,28,34,0
77.4,44.9,30,26,38,0
56.5,39.7,61,27,32,0
51.1,87.8,81,29,41,0
81.9,24.2,40,28,35,0
84.5,60.7,77,28,35,0
75.7,7.3,31,26,41,0
84.4,28.5,31,26,43,0
83.2,93.3,74,28,41,0
77.8,29.4,37,28,41,0
83.3,32,30,30,43,0
84.6,19.8,31,29,32,0
82.8,69.4,65,30,33,0
79.2,43,33,30,36,0
53.7,22.5,74,29,32,0
75.6,2.5,39,29,34,0
84.8,16.9,34,28,40,0
75.6,16.3,61,27,36,0
81,37.2,30,27,39,0
52.3,73.3,74,30,33,0
77,98.9,37,29,38,0
83.3,87.3,39,29,39,0
53,68.9,86,28,36,0
57.8,66.5,90,25,37,0
48.7,18.5,66,29,39,0
79.3,12,38,30,43,0
45.1,67.3,70,25,36,0
52.5,49.7,77,30,35,0
83.9,7.8,63,29,43,0
54.3,14.1,90,29,37,0
75.9,97.1,36,27,41,0
82.6,25.9,67,30,36,0
53.2,37.9,85,26,40,0
75.7,8.1,31,28,43,0
76.3,77.9,69,27,33,0
79.3,99.3,39,27,33,0
51.1,45.4,39,28,40,0
83.7,78.7,39,30,36,0
79.8,49.1,68,28,39,0
75.4,87,39,28,36,0
52.3,56.3,60,27,42,0
76.3,63.5,35,29,39,0
48.5,29.5,80,29,40,0
48.4,69,31,28,43,0
48.4,31,83,29,37,0
79.1,92.2,38,29,32,0
94.4,21.7,71,29,43,0
48.9,91.1,89,28,38,0
81.5,66.1,75,30,42,0
82.5,81.5,52,28,38,0
78.9,10.5,75,25,36,0
45.1,45.3,81,28,39,0
48.6,78.6,85,27,42,0
80,44.5,67,30,35,0
51.8,12.3,90,29,39,0
48.7,81.6,71,30,43,0
46,64.2,71,27,41,0
78.1,93.5,39,25,34,0
45.1,66.5,37,26,33,0
54.7,81.5,37,27,33,0
50.8,98,34,26,43,0
83.1,11.3,35,25,38,0
80.6,59.6,34,30,32,0
80.8,55.4,33,26,35,0
