vibrate,voltage,pressure,label
33.82,481,8.65,1
30.13,474,8.36,1
30.25,481,8.55,1
30.25,480,8.33,1
32.48,481,8.63,1
38.33,485,8.61,1
39.65,476,8.49,1
34.7,467,8.76,1
35.08,482,8.43,1
33.6,477,8.4,1
32.05,478,8.55,1
37.85,483,8.42,1
38.66,474,8.53,1
37.86,479,8.6,1
30.7,471,8.78,1
37.04,479,8.39,1
36.63,480,8.32,1
39.98,479,8.38,1
31.67,477,8.64,1
36.68,475,8.52,1
34.12,483,8.3,1
37.14,476,8.61,1
31.11,475,8.76,1
33.18,478,8.53,1
30.69,483,8.57,1
39.29,482,8.61,1
39.98,477,8.36,1
33.52,481,8.61,1
33.28,486,8.31,1
39.53,488,8.47,1
35.08,479,8.66,1
38.14,478,8.52,1
38.54,480,8.31,1
33.61,473,8.46,1
31.97,477,8.74,1
35.64,480,8.71,1
30.73,476,8.75,1
39.68,477,8.41,1
34.22,479,8.68,1
32.89,481,8.54,1
36.49,474,8.39,1
38.35,477,8.71,1
35.02,479,8.56,1
30.16,480,8.43,1
37.53,483,8.56,1
39.53,481,8.76,1
38.01,483,8.75,1
35.37,482,8.74,1
32.66,483,8.7,1
36.9,483,8.59,1
32.07,479,8.47,1
33.9,486,8.36,1
31.9,481,8.31,1
37.03,484,8.6,1
36.17,477,8.38,1
33.13,482,8.59,1
34.15,480,8.71,1
31.82,477,8.39,1
32.5,484,8.63,1
32.37,481,8.77,1
38.52,478,8.59,1
38.91,483,8.35,1
31.09,480,8.55,1
32.94,475,8.48,1
30.12,481,8.51,1
33.02,481,8.68,1
31.88,483,8.68,1
37.26,480,8.49,1
33.83,483,8.32,1
35.4,480,8.7,1
39.25,482,8.71,1
38.64,483,8.72,1
32.89,477,8.36,1
30.31,479,8.75,1
31.39,481,8.69,1
38.24,483,8.35,1
36.97,479,8.57,1
39.09,477,8.73,1
36.16,471,8.36,1
38.44,477,8.33,1
33.72,483,8.54,1
31.65,482,8.74,1
38.18,487,8.76,1
36.39,478,8.75,1
39.74,473,8.36,1
38.78,477,8.68,1
35.64,481,8.61,1
34.7,480,8.33,1
37.7,483,8.58,1
30.21,476,8.54,1
31.89,482,8.66,1
31.93,483,8.56,1
33.61,476,8.33,1
33.78,482,8.39,1
31.78,486,8.37,1
39.24,481,8.4,1
32.76,477,8.46,1
31.31,484,8.35,1
31.61,481,8.67,1
35.94,478,8.32,1
30.21,475,8.48,1
33.52,478,8.79,1
38.24,477,8.44,1
30.48,478,8.77,1
36.94,474,8.49,1
34.9,485,8.52,1
36.24,474,8.59,1
34.99,476,8.71,1
33.23,480,8.44,1
34.17,470,8.73,1
38.04,473,8.68,1
37.99,475,8.44,1
34.72,478,8.36,1
32.3,476,8.44,1
34,474,8.7,1
39.25,479,8.44,1
37.77,474,8.76,1
32.63,483,8.33,1
39.58,485,8.66,1
33.44,479,8.59,1
30.98,482,8.72,1
35.62,480,8.59,1
37.16,477,8.51,1
34.83,476,8.72,1
30.39,484,8.67,1
31.36,480,8.71,1
32.43,479,8.79,1
38.12,482,8.41,1
36.51,478,8.47,1
32.91,480,8.39,1
38.88,470,8.58,1
32.46,478,8.68,1
38.4,482,8.64,1
30.11,468,8.52,1
34.08,489,8.31,1
33.47,473,8.31,1
37.94,483,8.36,1
38.66,480,8.47,1
36.97,486,8.41,1
35.31,477,8.67,1
30.41,477,8.4,1
30.27,475,8.59,1
30.68,486,8.53,1
39.84,485,8.38,1
31.88,480,8.47,1
33.62,480,8.73,1
35.62,480,8.76,1
37.95,478,8.76,1
34.29,478,8.5,1
30.16,474,8.54,1
33.19,483,8.47,1
35.39,483,8.54,1
30.04,481,8.49,1
39.31,480,8.42,1
35.31,486,8.62,1
30.6,478,8.47,1
38.27,478,8.78,1
32.51,480,8.64,1
33.57,479,8.79,1
34.77,488,8.64,1
30.04,485,8.76,1
37.09,491,8.72,1
38.91,478,8.65,1
36.51,478,8.64,1
34.48,481,8.8,1
36.99,474,8.54,1
33.56,481,8.65,1
39.1,488,8.54,1
30.9,482,8.31,1
39.56,480,8.73,1
34.39,484,8.76,1
34.48,477,8.36,1
32.79,478,8.51,1
31.01,477,8.61,1
38.56,490,8.8,1
32.99,480,8.7,1
35.7,481,8.7,1
35.25,476,8.51,1
37.07,483,8.51,1
30.06,483,8.75,1
35.78,479,8.33,1
30.16,481,8.5,1
32.7,481,8.68,1
31.31,482,8.34,1
33.68,480,8.69,1
35.31,486,8.43,1
39.62,479,8.5,1
38.31,487,8.35,1
34.98,474,8.51,1
31.53,474,8.36,1
34.31,482,8.76,1
37.4,482,8.5,1
38.2,483,8.52,1
34.67,477,8.31,1
39.43,473,8.35,1
32.38,479,8.3,1
31.91,471,8.57,1
35.28,489,8.6,1
34.68,479,8.54,1
39.27,477,8.39,1
35.84,476,8.38,1
30.88,472,8.62,1
33.81,470,8.63,1
39.78,475,8.55,1
33.72,480,8.32,1
39.31,477,8.47,1
35.43,478,8.54,1
33.53,479,8.34,1
34.99,479,8.43,1
34.29,475,8.39,1
32.6,491,8.43,1
32.97,477,8.36,1
35.73,474,8.58,1
35.49,480,8.33,1
35.68,480,8.49,1
32.84,485,8.71,1
30.06,483,8.74,1
37.89,480,8.78,1
31.03,479,8.44,1
35.56,483,8.62,1
30.9,478,8.42,1
30.3,484,8.5,1
38.05,478,8.39,1
31.28,479,8.31,1
34.96,476,8.55,1
30.35,475,8.73,1
31.97,479,8.36,1
37.09,476,8.32,1
32.35,481,8.67,1
37.01,472,8.76,1
35.79,478,8.67,1
32.1,480,8.66,1
35.56,485,8.35,1
32.16,484,8.46,1
38.63,477,8.49,1
32.05,473,8.63,1
39.33,480,8.68,1
32.28,483,8.34,1
39.18,490,8.42,1
36.51,480,8.71,1
31.71,478,8.59,1
30.88,478,8.31,1
34.94,484,8.37,1
35.28,478,8.43,1
30.03,480,8.52,1
31.48,477,8.77,1
39.04,478,8.76,1
33.36,478,8.38,1
34.28,483,8.47,1
35.37,480,8.37,1
37.63,483,8.73,1
30.45,485,8.58,1
38.7,485,8.55,1
33.27,478,8.64,1
34.37,482,8.34,1
36.26,487,8.66,1
30.21,479,8.5,1
39.35,477,8.7,1
38.2,475,8.43,1
36.38,475,8.32,1
32.57,482,8.4,1
32.67,484,8.41,1
34.21,484,8.46,1
32.61,485,8.46,1
39.01,486,8.37,1
35.7,486,8.48,1
31.67,476,8.4,1
36.58,476,8.53,1
33.08,475,8.64,1
35.84,486,8.73,1
31.21,479,8.72,1
34.91,478,8.47,1
36.65,485,8.64,1
35.23,473,8.54,1
35.1,475,8.53,1
36.21,488,8.77,1
31.21,475,8.65,1
37.55,471,8.39,1
38.21,484,8.76,1
39.24,482,8.45,1
32.89,475,8.77,1
38.16,471,8.71,1
33.38,482,8.78,1
39.37,481,8.64,1
38.04,486,8.54,1
39.18,477,8.31,1
38.62,471,8.32,1
34.65,478,8.33,1
39.42,471,8.36,1
31.01,483,8.41,1
37.01,470,8.39,1
33.73,478,8.5,1
37.21,481,8.57,1
39.4,483,8.39,1
39,477,8.51,1
32.86,487,8.46,1
33.43,492,8.42,1
32.26,487,8.51,1
33.61,476,8.6,1
34.54,476,8.76,1
32.11,480,8.4,1
31.45,486,8.77,1
34.17,477,8.77,1
30.55,480,8.52,1
38.11,476,8.37,1
33.78,481,8.59,1
30.22,475,8.36,1
32.23,480,8.67,1
32.89,481,8.59,1
36.69,479,8.7,1
32,483,8.56,1
32.68,482,8.62,1
36.06,487,8.59,1
34.55,478,8.44,1
35.55,480,8.66,1
30.42,486,8.35,1
38.12,478,8.7,1
36.79,475,8.75,1
32.31,473,8.59,1
30.64,485,8.62,1
30.05,484,8.48,1
35.68,479,8.4,1
37.37,486,8.5,1
38.44,478,8.33,1
34,484,8.45,1
34.57,485,8.53,1
32.44,488,8.5,1
33.81,485,8.32,1
33.35,475,8.7,1
36.16,484,8.7,1
33.92,476,8.66,1
38.4,484,8.5,1
39.96,480,8.45,1
30.09,482,8.68,1
37.14,483,8.54,1
33.19,480,8.66,1
30.48,484,8.46,1
37.15,483,8.46,1
30.13,481,8.48,1
32.79,483,8.64,1
33.5,483,8.45,1
31.29,483,8.45,1
30.11,480,8.41,1
35.28,486,8.4,1
35.2,480,8.62,1
39.87,477,8.65,1
34.78,486,8.54,1
32.89,480,8.73,1
36.98,479,8.63,1
38.17,482,8.69,1
32.08,483,8.38,1
39.28,480,8.54,1
30.21,476,8.44,1
36.23,476,8.69,1
34.7,472,8.58,1
36.12,489,8.55,1
33.54,478,8.51,1
38.89,486,8.39,1
36.31,480,8.46,1
37.84,477,8.33,1
36.51,485,8.65,1
32.56,484,8.6,1
34.22,473,8.4,1
33.47,479,8.44,1
38.97,475,8.72,1
39.05,476,8.61,1
38.11,477,8.41,1
31.09,482,8.42,1
36.43,471,8.44,1
39.68,478,8.55,1
37.04,483,8.71,1
30.3,478,8.6,1
32.61,483,8.62,1
32.51,482,8.64,1
34.65,474,8.6,1
38.49,478,8.57,1
35.72,486,8.35,1
34.17,479,8.71,1
30.74,478,8.59,1
39.87,480,8.46,1
37.87,476,8.43,1
32.55,485,8.56,1
35.35,479,8.75,1
32.21,482,8.5,1
36.66,474,8.76,1
37.99,481,8.41,1
38.46,486,8.32,1
35.78,478,8.49,1
37.35,475,8.51,1
37.21,479,8.65,1
37.56,476,8.52,1
37.13,483,8.57,1
35.02,484,8.55,1
34.64,476,8.79,1
31.15,482,8.49,1
39.62,477,8.65,1
31.07,482,8.44,1
35.42,479,8.47,1
31.89,488,8.79,1
32.1,485,8.58,1
36.19,482,8.38,1
30.37,472,8.4,1
30.77,480,8.69,1
31.31,474,8.58,1
38.61,483,8.74,1
32.47,478,8.68,1
34.71,480,8.36,1
30.56,473,8.31,1
30.64,484,8.62,1
39.36,483,8.47,1
30.33,478,8.6,1
32.3,477,8.37,1
32.57,474,8.37,1
30.07,482,8.54,1
31.97,481,8.73,1
39.32,481,8.42,1
35.94,478,8.76,1
38.13,480,8.36,1
34.25,483,8.71,1
36.29,482,8.59,1
35.68,480,8.68,1
33.33,474,8.65,1
36.62,486,8.51,1
36.02,481,8.39,1
37.19,476,8.69,1
30.98,480,8.78,1
31.47,473,8.68,1
31.96,484,8.69,1
37.55,485,8.46,1
36.86,482,8.37,1
35.66,481,8.64,1
38.04,481,8.78,1
32.77,479,8.53,1
34.21,486,8.75,1
30.18,487,8.4,1
31.09,480,8.35,1
32,482,8.31,1
31.99,490,8.38,1
35.42,488,8.58,1
33.08,476,8.49,1
38.17,479,8.79,1
37.18,479,8.59,1
30.18,479,8.35,1
33.69,479,8.6,1
35.34,471,8.46,1
31.75,485,8.43,1
32.82,476,8.38,1
39.52,484,8.43,1
31.86,485,8.43,1
31.42,481,8.65,1
37.05,482,8.65,1
36.41,477,8.52,1
38.08,482,8.61,1
31.95,486,8.45,1
35.67,477,8.33,1
37.85,479,8.48,1
39.76,478,8.48,1
32.07,478,8.62,1
34.4,480,8.56,1
35.98,482,8.63,1
36.55,477,8.48,1
34.47,477,8.67,1
39.88,479,8.67,1
37.97,485,8.78,1
34.61,485,8.48,1
30.65,488,8.4,1
30.07,482,8.58,1
32.54,470,8.63,1
38.89,483,8.57,1
35.8,474,8.74,1
37.89,478,8.62,1
35.88,476,8.33,1
37.25,475,8.56,1
39.54,479,8.57,1
33.9,481,8.69,1
37.39,480,8.73,1
30.71,486,8.49,1
32.41,480,8.54,1
33.17,480,8.72,1
37.85,477,8.54,1
38.1,474,8.8,1
37.63,477,8.75,1
30.84,471,8.78,1
34.58,481,8.46,1
38.24,478,8.54,1
38.09,481,8.53,1
37.74,485,8.34,1
38.51,482,8.53,1
32.21,482,8.58,1
35.02,466,8.31,1
34.06,485,8.34,1
32.25,473,8.31,1
37.96,489,8.38,1
39.75,482,8.44,1
32.89,477,8.42,1
31.83,476,8.51,1
38.07,477,8.52,1
33.05,480,8.39,1
35.6,479,8.71,1
37.74,472,8.4,1
35.9,487,8.48,1
36.51,478,8.62,1
30.95,480,8.78,1
32.34,484,8.55,1
35.34,476,8.32,1
35.37,483,8.69,1
38.16,482,8.69,1
32.14,484,8.46,1
34.37,479,8.63,1
