vibrate,voltage,pressure,label
132.0276155,8,5.58,0
144.1356451,169,8.76,0
102.2790584,254,8.89,0
155.0870206,113,8.67,0
38.57538091,277,1.03,0
36.02521529,290,2.81,0
174.7417402,228,8.99,0
211.5531494,74,8.31,0
30.02329318,284,3.45,0
39.56464887,211,0.41,0
34.16380813,258,3.67,0
174.8445525,238,5.67,0
175.9296432,214,8.12,0
34.38326619,177,1.46,0
225.7435712,103,5.15,0
32.24781077,193,4.71,0
37.65692488,284,3.96,0
223.2390634,223,0.27,0
175.2532395,9,0.21,0
206.111496,281,8.77,0
34.69690473,49,5.8,0
120.3776312,171,3.36,0
38.48478772,150,2.07,0
109.7405842,14,8.75,0
109.0372185,271,8.55,0
214.6347477,261,4.65,0
151.6322333,29,8.57,0
118.1167669,121,8.49,0
140.7993486,110,8.13,0
35.2267691,211,2.95,0
161.3711169,289,8.99,0
103.691334,45,8.91,0
37.39282126,230,0.24,0
38.89379469,42,3.89,0
38.37721983,46,3.95,0
37.94228936,63,0.02,0
123.8135889,31,3.68,0
31.3826617,117,1.48,0
200.4882963,78,0.74,0
33.36770274,135,3.41,0
173.458909,256,8.86,0
124.3950492,184,5.68,0
215.9882909,173,8.1,0
190.3609233,256,8.5,0
196.5106949,235,8.8,0
140.4931438,133,2.15,0
181.6519254,141,8.95,0
38.93746913,262,1.06,0
40.72818567,125,3.24,0
32.4861719,74,4.37,0
125.7608557,35,8.21,0
183.0202078,8,0.54,0
31.10443177,73,4.95,0
169.1152865,39,5.59,0
30.49132891,196,1.98,0
36.66539516,38,3.61,0
217.9101718,78,3.6,0
167.2562811,3,8.05,0
32.79220977,71,0.4,0
220.4783436,47,8.33,0
168.6829526,260,2.61,0
112.7161388,82,8.79,0
143.272406,108,0.69,0
227.9801319,170,8.98,0
40.89555464,43,3.6,0
210.6266063,67,3.39,0
157.705728,269,8.01,0
31.19998672,257,1.89,0
39.2990927,77,5.95,0
219.9823915,29,1.5,0
100.6697791,177,4.11,0
118.6565544,83,8.05,0
196.9870318,178,8.79,0
187.6085868,55,8.89,0
103.7935867,144,4.39,0
30.15435998,46,2.1,0
199.4830246,18,8.24,0
107.3372012,145,8.36,0
131.2913353,260,0.78,0
30.58153881,167,2.57,0
38.10879035,14,1.66,0
112.7959954,207,8.08,0
111.3551446,205,8.47,0
181.0319363,84,5.38,0
223.1043575,172,8.7,0
37.08750213,33,0.51,0
149.3018522,182,1.18,0
178.8423726,56,8.34,0
173.4195032,32,4.72,0
201.1924554,86,8.94,0
182.2656355,45,8.61,0
126.6465535,39,8.27,0
106.3726792,200,4.64,0
120.0534756,75,5.78,0
191.7453386,156,2.99,0
182.308239,284,8.48,0
37.87719548,194,5.26,0
183.2379182,17,2.45,0
222.1886805,93,8.3,0
37.31624975,112,6,0
172.4833311,124,8.41,0
135.672638,43,8.65,0
37.23519423,15,5.23,0
33.90249795,102,1.3,0
151.8247697,133,2.35,0
130.3875116,124,0.73,0
36.81895151,12,2.67,0
155.1694334,3,3.26,0
146.8420607,93,8.59,0
161.5529492,46,5.85,0
168.2152519,63,1.04,0
115.2780845,248,8.01,0
38.45313397,49,4.96,0
123.3576797,89,8.31,0
184.6695988,125,5.58,0
138.5167742,284,8.59,0
172.1190705,216,5.68,0
174.4765553,173,5.09,0
34.65402805,18,4.31,0
35.30764285,198,2.06,0
33.66628649,166,0.14,0
34.68713076,59,0.12,0
160.3796546,144,8.92,0
227.142724,257,8.02,0
34.18869396,264,5.77,0
36.78582453,135,2.77,0
157.3832584,296,8.03,0
207.732505,156,3.58,0
32.91178503,0,3.14,0
32.6438243,42,4.84,0
198.0383487,31,8.36,0
136.329472,229,8.7,0
32.57892933,162,0.04,0
152.6052243,25,1.36,0
40.90646087,248,3.55,0
179.4946106,201,8.56,0
123.3027651,230,4.01,0
225.4256865,276,8.35,0
178.112173,84,8.73,0
32.19489947,63,3.7,0
216.4588935,300,3.14,0
35.15258442,64,5.7,0
173.7091948,24,5.66,0
104.4142113,27,8.51,0
34.17309756,146,5.61,0
130.1319768,147,1.11,0
184.0502096,217,4.02,0
157.9606673,6,8.07,0
208.594068,81,2.85,0
125.0708033,50,8.13,0
32.48777728,103,4.32,0
228.5782899,147,6,0
218.0125198,139,8.1,0
226.0874832,59,8.46,0
106.8757027,48,3.34,0
162.0443638,118,8.68,0
33.86635266,167,0.24,0
218.5146374,110,0.63,0
183.8025346,165,8.03,0
118.2992784,117,0.94,0
154.8790394,13,1.55,0
33.97847064,186,5.29,0
181.1814006,92,4.82,0
224.0923313,267,3.75,0
30.78481803,62,2.96,0
31.30527913,271,0.12,0
35.7575587,112,2.66,0
32.80847008,176,3.68,0
35.74728312,58,2.49,0
38.32828296,203,3.19,0
152.6263081,137,1.23,0
191.869143,249,5.29,0
229.3802789,32,8.41,0
111.558412,256,0.38,0
168.1932718,120,8.91,0
146.9944187,232,2.09,0
192.8335652,150,5.34,0
217.1436815,66,8.33,0
192.8943363,165,3.02,0
129.5967309,202,2.18,0
195.9634434,201,1.68,0
185.3366997,24,8.46,0
114.0208242,279,8.9,0
188.2377362,151,1.97,0
105.9191281,244,5.63,0
209.9917714,199,0.85,0
183.9871684,44,3.51,0
220.1555932,107,4.68,0
37.31727584,191,0.23,0
196.6826915,47,3.77,0
175.2624956,243,2.46,0
30.6153934,110,4.94,0
34.63126212,218,3.62,0
101.2257433,154,4.64,0
37.86449386,218,0.09,0
118.3883454,203,4.95,0
119.9824235,25,1.91,0
38.46128617,267,2.31,0
35.6565824,82,0.62,0
176.4850852,146,1.85,0
203.205932,118,0.31,0
37.69812341,81,5.63,0
168.7265823,133,1.38,0
34.49357677,252,4.49,0
230.5481546,279,1.23,0
36.95195947,137,3.11,0
158.2052896,139,8.11,0
38.9685879,208,3.14,0
40.25384056,88,2.59,0
36.09550825,132,0.25,0
218.5200384,184,5.78,0
147.4543406,177,8.35,0
116.9757531,237,0.84,0
228.4123693,214,1.09,0
40.40320572,157,4.55,0
33.6506054,297,2.42,0
40.40981275,124,0.24,0
40.16586069,153,2.27,0
212.8025267,289,8.38,0
212.8822591,107,8.7,0
145.8681512,272,3.72,0
30.60197804,203,3.52,0
35.79200723,141,3.9,0
158.6854604,132,5.8,0
207.9344568,29,4.32,0
188.0048898,199,1.59,0
223.7022635,116,1.62,0
108.4230424,88,8.55,0
189.8001792,158,8.27,0
33.98644064,24,2.68,0
35.10903575,260,4.71,0
164.9585349,1,3.28,0
177.9049259,162,1.18,0
34.68080039,164,4.71,0
143.2200978,278,8.75,0
199.6230238,109,8.5,0
131.0150538,25,0.88,0
163.4908234,41,8.29,0
165.7868363,13,8.96,0
149.1039646,154,1.5,0
182.6766336,40,3.59,0
156.9328423,161,5.07,0
218.2175475,280,8.93,0
35.2174868,40,1.21,0
