pi,cpu,ram,temp,humidity,label
46.2,14.4,38,25,37,1
46.2,5.6,34,25,37,1
46.2,8.6,35,25,37,1
46.2,1.6,40,25,37,1
46.2,6.2,31,25,37,1
47.2,25.9,38,25,37,1
48.3,0,40,25,37,1
47.2,1.3,32,25,37,1
46.2,17.8,35,25,37,1
47.2,39.8,31,25,37,1
46.7,31.6,32,25,37,1
47.2,19.6,33,25,37,1
46.7,30.4,34,25,37,1
46.7,29.1,37,25,37,1
46.2,35,30,25,37,1
47.2,39.8,34,25,37,1
46.2,6.5,30,25,37,1
46.2,11.6,33,25,37,1
46.2,27.5,36,25,37,1
46.2,15.1,35,25,37,1
46.7,9.3,32,25,37,1
46.2,14.3,30,25,37,1
47.2,12.3,32,25,37,1
46.2,1.5,37,25,37,1
47.2,29.2,40,25,37,1
46.2,19.5,32,25,36,1
46.2,23,33,25,37,1
46.2,34,35,25,37,1
46.2,14.4,40,25,37,1
46.2,21.3,30,25,37,1
45.6,1.9,34,25,37,1
46.2,38.6,35,25,37,1
46.2,31.7,39,25,37,1
47.8,31.2,32,25,37,1
47.2,5.4,37,25,37,1
47.8,39.7,39,25,37,1
46.2,23.4,30,25,37,1
47.2,0.4,32,25,37,1
46.2,12.5,30,25,37,1
47.2,30.3,40,25,37,1
46.2,6.5,32,25,37,1
46.2,9.8,31,25,36,1
46.2,21.4,40,25,36,1
46.2,0,39,25,36,1
46.2,26.8,30,25,36,1
45.6,1.8,38,25,36,1
47.8,4.1,30,25,36,1
49.4,20.6,35,25,36,1
47.2,5.2,38,25,36,1
46.2,28.9,40,25,36,1
45.6,5.2,34,25,36,1
45.6,26.5,38,25,36,1
45.6,2.7,31,25,36,1
46.2,12.3,34,25,36,1
46.2,9.9,32,25,36,1
46.2,4.5,30,25,37,1
45.6,10.1,37,25,37,1
46.2,5.8,30,25,36,1
49.4,4.1,37,25,36,1
47.8,12.9,34,25,36,1
46.2,11.3,38,25,37,1
46.2,38.9,32,25,36,1
46.2,10.4,36,25,36,1
46.2,0.5,30,25,36,1
46.2,39.3,38,25,36,1
46.2,10.4,37,25,36,1
47.2,29.3,34,25,36,1
47.2,12.1,36,25,36,1
46.7,16.5,37,25,36,1
46.2,26.9,31,25,36,1
46.7,16.4,35,25,36,1
47.2,31.5,33,25,37,1
49.4,31.7,36,25,36,1
46.2,32.7,39,25,36,1
47.8,8,30,25,36,1
47.8,3.4,33,25,36,1
46.2,18.9,38,25,36,1
47.2,33.2,33,25,36,1
46.2,20,37,25,36,1
46.2,33.3,32,25,36,1
46.2,29,33,25,36,1
46.2,11.5,38,25,36,1
46.2,32,35,25,36,1
46.2,14.1,30,25,36,1
46.2,26.7,39,25,36,1
46.2,36.3,32,25,36,1
47.2,10.7,40,25,36,1
46.2,11.9,32,25,36,1
49.4,4.6,40,25,36,1
46.2,12.5,33,25,37,1
45.6,36.8,40,25,36,1
46.2,30.5,40,25,36,1
46.2,37.3,33,25,36,1
47.2,21,40,25,36,1
47.2,20.5,30,25,36,1
46.2,29,33,25,37,1
45.6,38.6,35,25,36,1
47.2,3.4,38,25,36,1
46.2,11.6,31,25,36,1
49.9,32,32,25,36,1
46.2,15.1,30,25,36,1
46.2,32.8,36,25,36,1
46.2,6.8,33,25,36,1
46.2,19.9,37,25,36,1
46.2,27.8,31,25,36,1
47.2,0.1,33,25,36,1
47.2,20.2,35,25,36,1
47.2,9.8,34,25,36,1
46.2,5.8,36,25,36,1
46.2,9.7,32,25,36,1
46.2,32.6,35,25,36,1
46.7,16.8,36,25,36,1
47.2,24.9,30,25,36,1
47.2,3.5,33,25,36,1
47.2,8.8,33,25,36,1
49.4,18.2,37,25,36,1
47.8,13.5,38,25,36,1
47.2,27,30,25,36,1
46.2,17.7,36,25,36,1
46.2,10.2,31,25,36,1
46.2,12.1,39,25,36,1
46.2,14.4,33,25,36,1
47.2,12.1,38,25,36,1
47.2,13.3,39,25,35,1
46.2,31.1,35,25,36,1
46.2,8.4,32,25,36,1
46.2,33,33,25,35,1
47.8,23.6,34,25,35,1
46.2,38.4,34,25,36,1
46.2,7.6,32,25,35,1
47.8,1.1,33,25,35,1
46.2,20.7,34,25,36,1
47.2,20,40,25,36,1
46.2,26.9,30,25,35,1
46.2,14.2,31,25,35,1
46.2,20.3,34,25,36,1
46.2,32.8,34,25,35,1
46.2,8.4,34,25,35,1
46.2,26.7,30,25,35,1
46.2,39.3,32,25,35,1
45.6,20.7,35,25,35,1
45.6,22.7,35,25,35,1
49.4,8.3,34,25,35,1
49.4,21.4,35,25,35,1
46.2,26.2,39,25,35,1
45.6,34.3,40,25,35,1
46.2,21.8,30,25,35,1
46.2,13.1,36,25,35,1
46.2,12.2,30,25,35,1
45.6,4,33,25,35,1
47.2,1.6,39,25,35,1
46.7,33.8,30,25,35,1
47.2,29.3,30,25,35,1
46.2,28.2,40,25,35,1
46.2,18.6,31,25,35,1
47.2,0.6,37,25,35,1
46.2,39.5,33,25,35,1
46.7,30.4,36,25,35,1
47.8,39.2,35,25,35,1
46.7,10.7,33,25,35,1
46.7,16.4,36,25,35,1
46.7,13,33,25,35,1
46.2,35.8,39,25,35,1
46.2,1.7,34,25,35,1
46.2,2.7,39,25,35,1
46.7,16.4,40,25,35,1
47.2,1.3,33,25,35,1
47.2,33.1,35,25,35,1
47.2,4.7,38,25,35,1
49.4,11.7,34,25,35,1
47.2,19.9,33,25,35,1
48.3,26.2,33,25,35,1
